id,lemma,rank,band,pos,gender,aspect,ipa,gloss_en_current,gloss_en_new,gloss_ro_current,gloss_ro_new,example_sk,example_en,register_flag,cognate_ro,notes,verdict
sk:myslieť,myslieť,33,1,VERB,,impf,/misʎɪ̯ec/,to think,,a gândi; a crede,,"Myslím, teda som.","I think, therefore I am.",,,,
sk:musieť,musieť,34,1,VERB,,impf,/musɪ̯ec/,"must, to have to",,a trebui,,Musím poriadne študovať.,I have to study really hard.,,,,
sk:všetok,všetok,35,1,ADV,,,/ˈfʃɛtɔk/,all,,tot; toată,,Išli ste všetci?,Did you all go?,,,,
sk:len,len,36,1,ADV,,,/len/,"only, just",,doar; numai,,Máme len čaj.,We only have tea.,,,,
sk:dobre,dobre,37,1,ADV,,,/ˈdɔbrɛ/,well; good; thank goodness,,bine,,Dobre. A vy?,Fine. And you?,,,,
sk:už,už,38,1,,,,,,,deja,,Už som skončil.,I've already finished.,,,,
sk:aby,aby,39,1,,,,,,,ca să; pentru ca,,"Chcem, aby prišiel.",I want him to come.,,,,
sk:ktorý,ktorý,40,1,PRON,,,/ktɔriː/,which; which (the one or ones that); which (who; whom; what),,care,,Ktorej časti nerozumieš?,What part don't you understand?,,,,
sk:my,my,41,1,PRON,,,/mi/,we,,noi,,On nás ochraňuje.,He is protecting us.,,,,
sk:keď,keď,42,1,CCONJ,,,/kec/,when; if,,când; dacă,,Zavri dvere keď odídeš.,Close the door when you leave.,,,,
sk:ak,ak,43,1,CCONJ,,,/ak/,if,,dacă,,"Zostanem, ak chceš.",I'll stay if you want.,,,,
sk:toto,toto,44,1,,,,,,,acesta; asta,,Je toto rieka?,Is this a river?,,,,
sk:za,za,45,1,ADP,,,/za/,,,după; pentru; în spatele,,Ďakujem za vysvetlenie.,Thanks for your explanation.,,,,
sk:robiť,robiť,46,1,VERB,,impf,/rɔbic/,"to make (to create from a certain material); to do (to do an activity); to work, to be employed; to make (to make someone have a certain quality)",,a face; a lucra,,Prečo to robíš?,Why are you doing this?,,,,
sk:niečo,niečo,47,1,PRON,,,/ɲɪ̯et͡ʃɔ/,something,,ceva,,Ja viem niečo!,I know something!,,,,
sk:tvoj,tvoj,48,1,PRON,,,/tvɔj/,"your, yours; thy, thine",,tău; ta,,Som tvoja minulosť.,I am your past.,,,,
sk:pre,pre,49,1,ADP,,,/pre/,"for, for the sake of; for, because of, due to",,pentru,,Nepracujem pre nich.,I'm not working for them.,,,,
sk:tam,tam,50,1,ADV,,,/tam/,there; thither,,acolo,,Sadnite si tam.,Sit there.,,,,
sk:prečo,prečo,51,1,ADV,,,/pret͡ʃɔ/,why,,de ce,,Prečo si sama?,Why are you alone?,,,,
sk:vidieť,vidieť,52,1,VERB,,impf,/viɟɪ̯ec/,to see,,a vedea,,Rád ťa vidím!,Nice seeing you!,,,,
sk:no,no,53,1,,,,,well…; so (discourse particle),,ei bine; păi,,No dobre. Pokračujte.,"Well, OK. Continue.",,,,
sk:svoj,svoj,54,1,PRON,,,/ˈsvɔj/,one's own,,al său (propriu),,Zopakuj svoje meno!,Repeat your name!,,,,
sk:teraz,teraz,55,1,ADV,,,/teras/,now,,acum,,Teraz môžeš ísť.,You may go now.,,,,
sk:hovoriť,hovoriť,56,1,VERB,,impf,/ɦɔvɔric/,"to talk, to speak",,a vorbi; a spune,,Hovoríš po nemecky?,Do you speak German?,,,,
sk:aj,aj,57,1,ADV,,,/aj/,"also; even (implying an extreme example, used at the beginning of sentences)",,și; chiar și,,Aj ja prídem.,"I'll come, too.",,,,
sk:hej,hej,58,1,INTJ,,,/ˈɦɛj/,"yeah, yep; hey (exclamation)",,da (colocvial); hei,,"Hej, je to pravda.","Oh yeah, it's true.",,,,
sk:dať,dať,59,1,VERB,,pf,/dac/,"to give, put; to be possible",,a da; a pune,,Dajte sa dokopy.,Team up.,,,,
sk:jeden,jeden,60,1,NUM,,,/jeden/,"one; used in the connections jeden-dva, jeden či dva to express an approximate or small number: one or two; solid, single (forming a complete whole or made of a single piece); certain, some (referring to a person or thing known to the speaker but unnamed)",,unu; un,,Jednej veci nerozumiem.,There is one thing I don't understand.,,,,
sk:urobiť,urobiť,61,1,VERB,,pf,/urɔbic/,"to make (to create from a certain material); to do (to do an activity); to make (to make someone have a certain quality); to make, to cause (to cause someone have a certain emotion, state)",,a face (perfectiv),,Urobil som objav.,I've made a discovery.,,,,
sk:ten,ten,62,1,PRON,,,/ten/,the; this; that,,acela; acel,,Uvidíš ten rozdiel.,You will see the difference.,,,,
sk:kto,kto,63,1,PRON,,,/kto̞/,who?,,cine,,Kto je ďalší?,Who is next?,,,,
sk:pán,pán,64,1,NOUN,masc,,/ˈpaːn/,lord; mister; sir; ruler,,domn; stăpân,,Pán Smith si upratuje izbu.,Mr. Smith is cleaning his room.,,,,
sk:k,k,65,1,ADP,,,/k/,,,către; la,,Blahoželám k víťazstvu!,Congratulations on your victory!,,,,
sk:človek,človek,66,1,NOUN,masc,,/t͡ʃlɔvek/,"person, man (i.e., a human being regardless of gender)",,om,,Ženy sú ľudia.,Women are people.,,,,
sk:veľa,veľa,67,1,ADV,,,/veʎa/,"much, many",,mult; mulți,,Veľa jej klamal.,He told her many lies.,,,,
sk:dobrý,dobrý,68,1,ADJ,,,/dɔbriː/,good,,bun,,Máš dobrú pamäť.,You have a good memory.,,,,
sk:nič,nič,69,1,PRON,,,/ɲit͡ʃ/,nothing,,nimic,,Nekupuj mi nič!,Don't buy me anything!,,,,
sk:takže,takže,70,1,CCONJ,,,/taɡʒe/,"therefore, so",,așadar; deci,,,,,,,
sk:prísť,prísť,71,1,VERB,,pf,/priːsc/,"to arrive, to come (of people or animals: to reach a place on foot or by vehicle); to come (to arrive with a specific intention, goal, or to get something); to arrive (of transport: to reach a destination or station); to arrive, to come (of mail, news, or goods: to be delivered or announced)",,a veni; a sosi,,Prídete na návštevu?,Are you going to come visit me?,,,,
sk:táto,táto,72,1,,,,,,,aceasta; asta,,Potrebuješ túto knihu?,Do you need this book?,,,,
sk:váš,váš,73,1,PRON,,,/vaːʃ/,"your, yours",,al vostru; dumneavoastră,,Som váš dlžník.,I am in your debt.,,,,
sk:kde,kde,74,1,ADV,,,/ˈɡɟɛ/,where?,,unde,,Kde je jedáleň?,Where is the dining room?,,,,
sk:dostať,dostať,75,1,VERB,,pf,/dɔstac/,"to get, to receive (to accept something given, provided, or sent); to acquire, to get (to obtain as a result of a natural process, development, or change); to catch, to be affected, to suffer (to be struck by something unpleasant like a disease, injury, or technical failure); to receive, to be punished (to be struck by a blow or penalty as a consequence)",,a primi; a obține,,Tom nedostal odpoveď.,Tom didn't get a reply.,,,,
sk:po,po,76,1,PART,,,/pɔ/,"expresses a distribution, spread in layout; introduces an adverbial phrase of a manner",,după; de-a lungul; câte,,Hovoríš po nemecky?,Do you speak German?,,,,
sk:ešte,ešte,77,1,ADV,,,/eʃce/,again; still; yet,,încă,,Grace ešte neprišla.,Grace has not come yet.,,,,
sk:pozrieť,pozrieť,78,1,,,,,,,a se uita; a privi (perfectiv),,Pozri sa dozadu!,Look backward!,,,,
sk:potrebovať,potrebovať,79,1,VERB,,impf,/pɔtrebɔvac/,to need,,a avea nevoie (de),,Tom potrebuje prácu.,Tom needs a job.,,,,
sk:alebo,alebo,80,1,CCONJ,,,/aʎebɔ/,or,,sau,,Ber alebo nechaj tak.,"Take it, or leave it.",,,,
sk:náš,náš,81,1,PRON,,,/naːʃ/,"our, ours",,al nostru,,Vidí naše ovocie.,He sees our fruit.,,,,
sk:jeho,jeho,82,1,PRON,,,/jeɦɔ/,"his, its",,al lui; său,,Sme jeho deti.,We are his children.,,,,
sk:nájsť,nájsť,83,1,VERB,,pf,/naːjsc/,"to find, to discover, to locate (to discover someone or something by searching or by chance); to uncover, to detect, to reveal (to find through investigation, research, or analysis); to find (for oneself), to procure, to secure (to obtain something through effort or planning, often for one's benefit); to find (a partner), to meet (to establish a relationship or get to know someone)",,a găsi,,Tom našiel lyžicu.,Tom found a spoon.,,,,
sk:vec,vec,84,1,NOUN,fem,,/vet͡s/,thing; business (something involving one personally),,lucru; chestiune,,Jednej veci nerozumiem.,There is one thing I don't understand.,,,,
sk:poriadok,poriadok,85,1,NOUN,masc,,/pɔrɪ̯adɔk/,order; procedure,,ordine; regulă,,Budú v poriadku.,They'll be fine.,,,,
sk:od,od,86,1,ADP,,,/ˈɔd/,from; since; of,,de la; din,,Od utorka prší.,It has been raining since Tuesday.,,,,
sk:niekto,niekto,87,1,PRON,,,/ˈɲi̯ɛktɔ/,"someone, somebody",,cineva,,Chýba dnes niekto?,Is anyone absent today?,,,,
sk:prosiť,prosiť,88,1,,,,,,,a ruga; a cere,,"Prosím, zadržte dych.","Hold your breath, please.",,,,
sk:veľmi,veľmi,89,1,ADV,,,/veʎmi/,very,,foarte,,Je veľmi citlivý.,He is very sensitive.,,,,
sk:taký,taký,90,1,PRON,,,/takiː/,such; so,,astfel de; așa,,Nič takého neurobím.,I'll do nothing of the kind.,,,,
sk:potom,potom,91,1,,,,,,,apoi; după aceea,,Potom ti zavolám.,I'll call you later.,,,,
sk:nikdy,nikdy,92,1,,,,,,,niciodată,,Toto nikdy neskončí.,This is never going to end.,,,,
sk:možno,možno,93,1,ADV,,,/mɔʒnɔ/,"perhaps, maybe",,poate,,Možno ma spoznajú.,Maybe they'll recognize me.,,,,
sk:ani,ani,94,1,CCONJ,,,/aɲi/,neither; nor; even (with negative clause),,nici,,Nepijem ani nefajčím.,I neither drink nor smoke.,,,,
sk:nejaký,nejaký,95,1,,,,,,,vreun; un oarecare,,Máte nejaké otázky?,Do you have any questions?,,,,
sk:rok,rok,96,1,NOUN,masc,,/rɔk/,year,,an,,Šťastný nový rok!,Happy New Year!,,,,
sk:čas,čas,97,1,NOUN,masc,,/t͡ʃas/,time; time (particular occasion); tense,,timp; vreme,,Nemáme čas váhať.,We don't have time to hesitate.,,ceas,,
sk:aký,aký,98,1,PRON,,,/ˈakiː/,what (what kind of),,ce fel de; cum,,Akú knihu čítate?,What book are you reading?,,,,
sk:ďakovať,ďakovať,99,1,VERB,,impf,/ɟakɔvac/,to thank (to express gratitude),,a mulțumi,,Ďakujem za vysvetlenie.,Thanks for your explanation.,,,,
sk:deň,deň,100,1,NOUN,masc,,/ɟeɲ/,day,,zi,,Každý deň behávame.,We run every day.,,,,
sk:nechať,nechať,101,1,,,,,,,a lăsa,,Nechajte zapnuté svetlá.,Keep the lights on.,,,,
sk:stať,stať,102,1,VERB,,pf,/stac/,"to become (to acquire new properties or transition into a new state, profession, or status); to happen, to occur, to befall (to take place, especially regarding accidents or unexpected events); to take place (to occur as a result of a process or a specific wish); to arise, to set in, to emerge (to start to exist or happen, such as a state or condition)",,a deveni; a se întâmpla,,To sa nestane.,That won't happen.,,,,
sk:rád,rád,103,1,ADJ,,,/raːt/,glad,,bucuros; cu plăcere,,Nemám rád Facebook.,I don't like Facebook.,,,,
sk:žiaden,žiaden,104,1,PRON,,,/ʒɪ̯aden/,"none; no (not any); no (no proper, no true)",,niciun; nicio,,Nemáme žiadny dôkaz.,We don't have any proof.,,,,
sk:dva,dva,105,1,NUM,,,/dva/,two,,doi; două,,Máme dvoch synov.,We have two sons.,,,,
sk:otec,otec,106,1,NOUN,masc,,/ɔcet͡s/,father,,tată,,Otec miluje matku.,My father loves my mother.,,,,
sk:život,život,107,1,NOUN,masc,,/ʒivɔt/,life,,viață,,Život je nepredvídateľný.,Life is unpredictable.,,,,
sk:boh,boh,108,1,NOUN,masc,,/bɔx/,god,,Dumnezeu; zeu,,Boh žehná Tatoeba!,God bless Tatoeba!,,,,
sk:naozaj,naozaj,109,1,ADV,,,/ˈnaɔzaj/,really,,într-adevăr; chiar,,Naozaj ti nezávidím.,I really don't envy you.,,,,
sk:stále,stále,110,1,ADV,,,/staːʎe/,"always, all the time; still (up to the time, no less than before)",,mereu; încă,,Stále sme zaneprázdnení.,We're always busy.,,,,
sk:počuť,počuť,111,1,VERB,,both,/pɔt͡ʃuc/,to hear; to find out,,a auzi,,Takmer ho nepočujem.,I can hardly hear him.,,,,
sk:chodiť,chodiť,112,1,VERB,,impf,/xɔɟic/,to go (repeatedly); to walk,,a umbla; a merge (repetat),,Chodí do školy?,Does he go to school?,,,,
sk:pretože,pretože,113,1,CCONJ,,,/ˈprɛtɔʒɛ/,because,,pentru că; fiindcă,,"Zostali doma, pretože pršalo.","They stayed at home, because it rained.",,,,
sk:prepáčiť,prepáčiť,114,1,VERB,,pf,/prepaːt͡ʃic/,"to excuse, to forgive",,a ierta; a scuza,,"Prepáčte, zabudol som.","Sorry, I forgot.",,,,
sk:celý,celý,115,1,ADJ,,,/t͡seliː/,whole,,întreg; tot,,Preplakala celú noc.,She kept crying all night.,,,,
sk:veľký,veľký,116,1,ADJ,,,/veʎkiː/,big,,mare,,Rusko je veľké.,Russia is big.,,,,
sk:zabiť,zabiť,117,1,VERB,,pf,/zabic/,"to kill, to murder, to slay (to deprive a person of life violently or by accident); to slaughter, to kill (to kill an animal or insect by any means); to break, to smash (to break objects like glass, plates, or eggs); to kill, to waste (to spend time uselessly or to suppress feelings and boredom)",,a ucide; a omorî,,Zvedavosť zabila mačku.,Curiosity killed the cat.,,,,
sk:každý,každý,118,1,PRON,,,/kaʒdiː/,"each, every; every man, everyone",,fiecare,,V každom prípade.,Of course.,,,,
sk:pred,pred,119,1,,,,,,,înainte de; în fața,,Utekajú pred zákonom.,They're running away from the law.,,,,
sk:ahoj,ahoj,120,1,INTJ,,,/aˈɦɔj/,"hello, hi; bye",,salut; pa,,Ahoj! Počuješ ma?,Hello! Can you hear me?,,,,
sk:pomôcť,pomôcť,121,1,VERB,,pf,/pɔmu̯ɔt͡sc/,to help,,a ajuta,,Môžem vám pomôcť?,Can I help you?,,,,
sk:vrátiť,vrátiť,122,1,VERB,,pf,/ˈvraːcic/,to return,,a returna; a se întoarce,,Čoskoro sa vrátim.,I will be back soon.,,,,
sk:pravda,pravda,123,1,NOUN,fem,,/pravda/,truth,,adevăr,,Mária mala pravdu.,Mary was right.,,,,
sk:dieťa,dieťa,124,1,NOUN,neut,,/ɟɪ̯eca/,child,,copil,,Sme jeho deti.,We are his children.,,,,
sk:iný,iný,125,1,ADJ,,,/ˈiniː/,other,,alt; diferit,,Tom bol iný.,Tom was different.,,,,
sk:vyzerať,vyzerať,126,1,VERB,,impf,/vizerac/,to look (to have an appearance); to seem,,a arăta (a avea aspectul); a părea,,Vyzeráš veľmi unavene.,You look very tired.,,,,
sk:práca,práca,127,1,NOUN,fem,,/praːt͡sa/,work,,muncă; lucru,,Tom potrebuje prácu.,Tom needs a job.,,,,
sk:počkať,počkať,128,1,,,,,,,a aștepta,,"Prosím, počkajte tu.",Please wait here.,,,,
sk:sem,sem,129,1,,,,,,,încoace; aici,,Vráť sa sem.,Come back here.,,,,
sk:dnes,dnes,130,1,ADV,,,/dɲɛs/,today,,azi; astăzi,,Dnes som plakal.,I cried today.,,,,
sk:žena,žena,131,1,NOUN,fem,,/ʒena/,woman; wife,,femeie; soție,,Ženy sú ľudia.,Women are people.,,,,
sk:nikto,nikto,132,1,PRON,,,/ɲiktɔ/,"no one, nobody",,nimeni,,Nevpúšťaj nikoho dnu!,Don't let anybody in.,,,,
sk:práve,práve,133,1,ADV,,,/praːve/,right now; exactly,,tocmai; chiar acum,,Práve sa učí?,Is he studying now?,,,,
sk:spraviť,spraviť,134,1,VERB,,pf,/spravic/,to do,,a face (perfectiv),,Spravím ťa šťastnou.,I'll make you happy.,,,,
sk:volať,volať,135,1,VERB,,impf,/vɔlac/,"to call; to call, to telephone",,a chema; a suna,,Volám sa Sally.,My name is Sally.,,,,
sk:istý,istý,136,1,ADJ,,,/ˈistiː/,"certain, sure; certain (having been determined but unspecified)",,sigur; anumit,,Ste si istý?,Are you sure?,,,,
sk:mama,mama,137,1,NOUN,fem,,/mama/,mama,,mamă,,Moja mama spí.,My mom is sleeping.,,,,
sk:miesto,miesto,138,1,NOUN,neut,,/ˈmi̯ɛstɔ/,location; place,,loc,,Mám zajednané miesto.,I have a reservation.,,,,
sk:seba,seba,139,1,PRON,,,/seba/,oneself,,pe sine,,Poznaj sám seba.,Know thyself.,,,,
sk:tento,tento,140,1,PRON,,,/tentɔ/,this (nearby),,acesta,,Tento stroj nejde.,This machine does not work.,,,,
sk:muž,muž,141,1,NOUN,masc,,/muʃ/,man (an adult male human); husband,,bărbat; soț,,Pes pohrýzol muža.,The dog bit the man.,,,,
sk:veriť,veriť,142,1,,,,,,,a crede,,"„Ver mi,“ povedal.","""Trust me,"" he said.",,,,
sk:skoro,skoro,143,1,ADV,,,/skɔrɔ/,"soon, shortly; almost, nearly",,curând; aproape,,Vráť sa skoro.,Come back soon.,,,,
sk:či,či,144,1,CCONJ,,,/ˈt͡ʃi/,"if, whether",,dacă; sau,,"Neviem, či mám čas.",I don't know if I have the time.,,,,
sk:poznať,poznať,145,1,VERB,,impf,/pɔznac/,to know,,a cunoaște,,Ona ma nepozná.,She doesn't know me.,,,,
sk:začať,začať,146,1,VERB,,pf,/zat͡ʃac/,"to start, to begin",,a începe,,"Prosím, ihneď začnite.",Please begin immediately.,,,,
sk:problém,problém,147,1,NOUN,masc,,/prɔbleːm/,problem,,problemă,,To nie je môj problém.,Not my problem.,,,,
sk:asi,asi,148,1,ADV,,,,"I guess, I think",,probabil; cam,,Asi som sa stratil.,I am probably lost.,,,,
sk:keby,keby,149,1,,,,,,,dacă (ireal),,Keby som len vedel!,If only I knew!,,,,
sk:vždy,vždy,150,1,,,,,,,întotdeauna,,Vždy sa sťažujú.,They always complain.,,,,
sk:vziať,vziať,151,1,VERB,,pf,/vzɪ̯ac/,to take,,a lua,,Vezmi si kabát.,Get your coat.,,,,
sk:tiež,tiež,152,1,ADV,,,/ˈci̯ɛʃ/,"also, too",,de asemenea; și,,Tom tiež stál.,"Tom stood, too.",,,,
sk:sám,sám,153,1,,,,,,,singur; însuși,,Prečo si sama?,Why are you alone?,,,,
sk:trochu,trochu,154,1,,,,,,,puțin,,Pridajte trochu mlieka.,Add a little milk.,,,,
sk:cítiť,cítiť,155,1,,,,,,,a simți,,Cítim sa požehnaným.,I feel blessed.,,,,
sk:pri,pri,156,1,ADP,,,/pri/,,,lângă; la,,Tom žije pri jazere.,Tom lives by the lake.,,,,
sk:priateľ,priateľ,157,1,NOUN,masc,,/prɪ̯aceʎ/,friend; supporter; boyfriend,,prieten; iubit,,Si môj priateľ.,You are my friend.,,prieten,,
sk:bez,bez,158,1,ADP,,,/ˈbɛs/,without,,fără,,Bez pýtania sa!,No question!,,,,
sk:prvý,prvý,159,1,ADJ,,,/pr̩viː/,first,,primul,,Získal prvú cenu.,He took the first prize.,,,,
sk:iba,iba,160,1,CCONJ,,,/ˈiba/,only,,doar; numai,,Iba to hovorím!,I'm just saying!,,,,
sk:cesta,cesta,161,1,NOUN,fem,,/t͡sesta/,road; way,,drum; cale; călătorie,,Nestoj v ceste.,Stop standing in the way.,,,,
sk:jasný,jasný,162,1,,,,,,,clar; limpede,,To je jasné.,Of course.,,,,
sk:noc,noc,163,1,NOUN,fem,,/nɔt͡s/,"night, nighttime",,noapte,,Preplakala celú noc.,She kept crying all night.,,,,
sk:nový,nový,164,1,ADJ,,,/nɔviː/,"Recently coming into existence or belonging to the current time.; new (recently created, built, invented, or coming into existence); Recently coming into existence or belonging to the current time.; fresh (recently grown or newly emerged)",,nou,,Šťastný nový rok!,Happy New Year!,,,,
sk:prestať,prestať,165,1,VERB,,pf,/prestac/,"to stop, to cease, to quit, to discontinue (to interrupt, stop, or finish an activity or state); to end, to stop, to cease, to vanish (of events, states, or phenomena: to reach completion or cease to exist)",,a înceta; a se opri,,Bábätko prestalo plakať.,The baby stopped crying.,,,,
sk:ďalší,ďalší,166,1,ADJ,,,/ɟalʃiː/,next; further,,următorul; alt,,Kto je ďalší?,Who is next?,,,,
sk:dokázať,dokázať,167,1,VERB,,pf,/dɔkaːzac/,to prove,,a dovedi; a reuși,,Ty to dokážeš.,You can do it.,,,,
sk:odísť,odísť,168,1,VERB,,pf,/ɔdiːsc/,"leave, depart (to leave a place on foot or by vehicle; to move away); depart, pull out (of vehicles; to leave a station or stop, usually according to a schedule); leave for, move (to leave or change one's workplace or location for a new one); quit, resign, retire (to stop performing an activity or being active in a specific field)",,a pleca,,Dnes večer odídem.,I'll leave tonight.,,,,
sk:snažiť,snažiť,169,1,,,,,,,a se strădui; a încerca,,Snažím sa neplakať.,I'm trying not to cry.,,,,
sk:ok,ok,170,1,,,,,,,ok; bine,,,,,,,
sk:ký,ký,171,1,,,,,,,care (arhaic),,"Kým dýcham, dúfam.","While I breathe, I hope.",,,,
sk:až,až,172,1,,,,,,,până; abia; chiar,,Vrátim sa až budúci týždeň.,I won't be back until next week.,,,,
sk:diať,diať,173,1,,,,,,,a se întâmpla,,Deje sa niečo zvláštne.,Something strange is happening.,,,,
sk:presne,presne,174,1,,,,,,,exact,,Vlak vyrazil presne načas.,The train pulled out exactly on time.,,,,
sk:vážne,vážne,175,1,,,,,,,serios,,Vážne? Kedy odišiel?,"Oh, really? When did he leave?",,,,
sk:chlapec,chlapec,176,1,NOUN,masc,,/xlapet͡s/,boy,,băiat,,Chlapec kupuje psa.,The boy buys a dog.,,,,
sk:dosť,dosť,177,1,ADV,,,/dɔsc/,"enough; pretty, rather",,destul; suficient,,Mám toho dosť.,I've had enough.,,,,
sk:zavolať,zavolať,178,1,,,,,,,a chema; a suna (perfectiv),,Rýchlo zavolajte lekára!,Call a doctor quickly!,,,,
sk:svet,svet,179,1,NOUN,masc,,/svet/,"the world; the cosmos, the universe, all there is; our own planet, the Earth, the globe; foreign lands",,lume,,Boh stvoril svet.,God created the world.,,,,
sk:malý,malý,180,1,ADJ,,,/maliː/,"little, small",,mic,,Ona má malé nohy.,She has small feet.,,,,
sk:pracovať,pracovať,181,1,VERB,,impf,/prat͡sɔvac/,to work,,a munci; a lucra,,Pracujú s nami.,They work with us.,,,,
sk:preto,preto,182,1,ADV,,,/pretɔ/,"therefore, hence",,de aceea,,Preto sa nahneval.,That is why he got angry.,,,,
sk:späť,späť,183,1,ADV,,,/spæc/,back,,înapoi,,Čochvíľa som späť.,I'll be back soon.,,,,
sk:dom,dom,184,1,NOUN,masc,,/dɔm/,house,,casă,,Postavil si dom.,He built himself a house.,,,,
sk:domov,domov,185,1,NOUN,masc,,/dɔmɔv/,home,,acasă; cămin,,"Domov, sladký domov.",Home sweet home.,,,,
sk:lepší,lepší,186,1,ADJ,,,/ʎepʃiː/,"better, comparative degree of dobrý",,mai bun,,Čo je lepšie?,What's better?,,,,
sk:ruka,ruka,187,1,NOUN,fem,,/ruka/,"hand, arm (the upper limb of a human, or specifically the part from the wrist down); handwriting, hand (the characteristic features of someone's writing style); person, hand, agent (symbolizes a person who performs an action or provides labor); hand, arm, lever (an object resembling a hand, such as a prosthetic or a mechanical part)",,mână; braț,,Máš čisté ruky?,Are your hands clean?,,,,
sk:milovať,milovať,188,1,VERB,,impf,/milɔvac/,to love; to make love,,a iubi,,Milujem Evelinu Sašenko.,I love Evelina Sašenko.,,,,
