id,sk,en,ro_current,ro_new,band,spoken_rank_max,native_author,register_flags,sounds_natural,natives_say,notes,verdict
tat:7584038,V každom prípade.,Of course.,,,1,241,yes,,,,,
tat:7584040,To je jasné.,Of course.,,,1,162,yes,,,,,
tat:7584395,Ženy sú ľudia.,Women are people.,,,1,131,yes,,,,,
tat:7584421,Tak sa hovorí.,So they say.,,,1,56,yes,,,,,
tat:7584458,Ona ma nepozná.,She doesn't know me.,,,1,145,yes,,,,,
tat:8011515,Nemám ťa rád.,I do not like you.,,,1,103,yes,,,,,
tat:8846243,Rád ťa vidím!,Nice seeing you!,,,1,103,yes,,,,,
tat:8846284,Pracujú s nami.,They work with us.,,,1,181,yes,,,,,
tat:8846286,Tom potrebuje prácu.,Tom needs a job.,,,1,127,yes,,,,,
tat:8846608,Už som skončil.,I've already finished.,,,1,234,yes,,,,,
tat:8846739,Nič nemusím povedať.,I don't have to say anything.,,,1,69,yes,,,,,
tat:8850019,Žijete v Libanone?,Do you live in Lebanon?,,,1,203,yes,,,,,
tat:8859527,Toto nikdy neskončí.,This is never going to end.,,,1,234,yes,,,,,
tat:8859551,To sa nestane.,That won't happen.,,,1,102,yes,,,,,
tat:8862395,Ste si istý?,Are you sure?,,,1,136,yes,,,,,
tat:8862430,Iba to hovorím!,I'm just saying!,,,1,160,yes,,,,,
tat:8862528,"Máte zbrane, však?",,,,1,250,yes,,,,,
tat:8865560,Ty to dokážeš.,You can do it.,,,1,167,yes,,,,,
tat:8865640,Môžem iba čakať.,I can only wait.,,,1,201,yes,,,,,
tat:8867175,Nechaj ho čakať!,Let him wait!,,,1,201,yes,,,,,
tat:8867558,Dobre. A vy?,Fine. And you?,,,1,37,yes,,,,,
tat:8874043,"Vráť sa, Tom.","Go back, Tom.",,,1,122,yes,,,,,
tat:8876323,"„Ver mi,“ povedal.","""Trust me,"" he said.",,,1,142,yes,,,,,
tat:8902794,Nikto ju nevidel.,No one has seen her.,,,1,132,yes,,,,,
tat:8905454,Rozumeli ste mu?,Did you understand him?,,,1,220,yes,,,,,
tat:8905455,Rozumeli ste jej?,Did you understand her?,,,1,220,yes,,,,,
tat:8913858,Teraz môžeš ísť.,You may go now.,,,1,55,yes,,,,,
tat:8913867,Prečo to potrebujú?,Why do they need it?,,,1,79,yes,,,,,
tat:8920969,Poviem mu pravdu.,I'll tell him the truth.,,,1,123,yes,,,,,
tat:8921017,Viem iba toto.,I know only this.,,,1,160,yes,,,,,
tat:8923837,Mesiac je jasný.,The moon is bright.,,,1,290,yes,,,,,
tat:8936123,Nech žije Bielorusko!,Long live the Belarus!,,,1,206,yes,,,,,
tat:8936196,Žijem v Lotyšsku.,I live in Latvia.,,,1,203,yes,,,,,
tat:8936204,Jednej veci nerozumiem.,There is one thing I don't understand.,,,1,220,yes,,,,,
tat:8936381,Išli ste všetci?,Did you all go?,,,1,35,yes,,,,,
tat:8936383,Kde všetci idete?,Where are you all going?,,,1,74,yes,,,,,
tat:8936403,Pôjdete do školy.,You will go to school.,,,1,298,yes,,,,,
tat:8936412,Môže nás vidieť?,Can he see us?,,,1,52,yes,,,,,
tat:8939214,Nemáme čas čakať.,We don't have time to wait.,,,1,201,yes,,,,,
tat:8944839,Povedal si niečo?,Did you say something?,,,1,47,yes,,,,,
tat:8944933,"Viem, čo hovorím.",I know what I'm saying.,,,1,56,yes,,,,,
tat:8946207,Kedy to skončilo?,When did it end?,,,1,234,yes,,,,,
tat:8946208,Kedy to skončí?,When's it over?,,,1,234,yes,,,,,
tat:8947506,Dnes večer odídem.,I'll leave tonight.,,,1,196,yes,,,,,
tat:8947587,Musím tam ísť.,I must go there.,,,1,50,yes,,,,,
tat:8947607,Musím to vedieť.,I have to know.,,,1,34,yes,,,,,
tat:8947620,Stalo sa niečo?,Did something happen?,,,1,102,yes,,,,,
tat:8956203,Žijem tam sám.,I live there by myself.,,,1,203,yes,,,,,
tat:8956221,Tom mi nezavolal.,Tom hasn't called me.,,,1,178,yes,,,,,
tat:8956383,Aj ja prídem.,"I'll come, too.",,,1,71,yes,,,,,
tat:8956403,Ako sa cítiš?,How do you feel?,,,1,155,yes,,,,,
tat:8956404,Ako sa cítite?,How do you feel?,,,1,155,yes,,,,,
tat:8958239,Vráť sa skoro.,Come back soon.,,,1,143,yes,,,,,
tat:8958245,Máme dvoch synov.,We have two sons.,,,1,273,yes,,,,,
tat:8958274,Chodí do školy?,Does he go to school?,,,1,298,yes,,,,,
tat:8958337,Hovorím príliš rýchlo?,Am I speaking too quickly?,,,1,285,yes,,,,,
tat:8958347,Budú v poriadku.,They'll be fine.,,,1,85,yes,,,,,
tat:8961937,"Prepáčte, zabudol som.","Sorry, I forgot.",,,1,239,yes,,,,,
tat:8962101,Koľko máš rokov?,How old are you?,,,1,284,yes,,,,,
tat:8962114,Volám sa Tom.,My name is Tom.,,,1,135,yes,,,,,
tat:8962936,Môžem vám pomôcť?,Can I help you?,,,1,121,yes,,,,,
tat:8963096,Zabudni na to.,Forget it.,,,1,239,yes,,,,,
tat:8963105,Si môj priateľ.,You are my friend.,,,1,157,yes,,,,,
tat:8963109,O čom hovoríš?,What are you talking about?,,,1,56,yes,,,,,
tat:8963117,Žijem v Japonsku.,I live in Japan.,,,1,203,yes,,,,,
tat:8963119,Nič sa nestalo.,Nothing happened.,,,1,102,yes,,,,,
tat:8963122,Nemám žiadne peniaze.,I don't have any money.,,,1,204,yes,,,,,
tat:8963144,Čo si dáte?,What would you like to eat?,,,1,59,yes,,,,,
tat:8963168,Poďte za mnou.,Come with me.,,,1,45,yes,,,,,
tat:8963803,Žijem v meste.,I'm living in the city.,,,1,255,yes,,,,,
tat:8975950,Tom všetko vedel.,Tom knew everything.,,,1,35,yes,,,,,
tat:8975966,Zavolal si Tomovi?,Did you call Tom?,,,1,178,yes,,,,,
tat:8976184,Ide to dobre.,It works well.,,,1,37,yes,,,,,
tat:8977168,Idem do školy.,I am going to school.,,,1,298,yes,,,,,
tat:8978165,Vezmem si ťa.,I will marry you.,,,1,151,yes,,,,,
tat:8982589,Musíte zastaviť Toma.,You have to stop Tom.,,,1,261,yes,,,,,
tat:8982656,Pomôže vám Tom?,Will Tom help you?,,,1,121,yes,,,,,
tat:8982660,Nemám veľa priateľov.,I don't have many friends.,,,1,157,yes,,,,,
tat:8983041,Môžem zavolať Tomovi.,I can call Tom.,,,1,178,yes,,,,,
tat:8984470,Tom bol iný.,Tom was different.,,,1,125,yes,,,,,
tat:8984493,Vezmem ho domov.,I'll take him home.,,,1,185,yes,,,,,
tat:8987338,Odišla skoro ráno.,She left early in the morning.,,,1,251,yes,,,,,
tat:8994874,Poznáš toto dievča?,Do you know this girl?,,,1,190,yes,,,,,
tat:8996682,Mám tri deti.,I've got three kids.,,,1,216,yes,,,,,
tat:8996845,Čakal som mesiac.,I've waited for a month.,,,1,290,yes,,,,,
tat:8996852,Tom to urobil.,Tom did it.,,,1,61,yes,,,,,
tat:9000167,Rád vám pomôžem.,I will gladly help you.,,,1,121,yes,,,,,
tat:9000168,Rád ti pomôžem.,I will gladly help you.,,,1,121,yes,,,,,
tat:9000170,Prečo nepomôžete Tomovi?,Why don't you help Tom?,,,1,121,yes,,,,,
tat:9001979,Kto je to?,Who is it?,,,1,63,yes,,,,,
tat:9003622,Musím tu zostať.,I've got to stay here.,,,1,189,yes,,,,,
tat:9003643,Uvidíme sa skoro!,See you soon!,,,1,218,yes,,,,,
tat:9003703,Nič som nevedela.,I didn't know anything.,,,1,69,yes,,,,,
tat:9003718,Chodím do školy.,I go to school.,,,1,298,yes,,,,,
tat:9003724,"Dobre teda, poďme!","Well, let's get going!",,,1,202,yes,,,,,
tat:9004692,Tu ničoho niet.,There is nothing here.,,,1,69,yes,,,,,
tat:9005806,Nikomu to nehovor.,Don't tell anyone.,,,1,132,yes,,,,,
tat:9005839,Kde je to?,Where is it?,,,1,74,yes,,,,,
tat:9005840,Kde je ona?,Where is she?,,,1,74,yes,,,,,
tat:9014523,Odišla do Paríža.,She left for Paris.,,,1,168,yes,,,,,
tat:9014527,Nie si sám.,You're not alone.,,,1,153,yes,,,,,
tat:9014528,Nie si sama.,You're not alone.,,,1,153,yes,,,,,
tat:9016891,Ako sa volá?,What is his name?,,,1,135,yes,,,,,
tat:9016982,Som z Austrálie.,I'm from Australia.,,,1,30,yes,,,,,
tat:9017062,"Viem, čo myslíš.",I see your point.,,,1,33,yes,,,,,
tat:9017066,"Chápem, čo myslíte.",I see your point.,,,1,237,yes,,,,,
tat:9017080,Nech sa páči.,Here you go.,,,1,206,yes,,,,,
tat:9017096,Chodí s niekým?,Is she dating someone?,,,1,112,yes,,,,,
tat:9017219,Oni to vedia.,They know that.,,,1,16,yes,,,,,
tat:9017220,Ony to vedia.,They know that.,,,1,27,yes,,,,,
tat:9017251,Dajme si ďalší!,Let’s have another!,,,1,166,yes,,,,,
tat:9024331,Ďakujem za všetko.,Thank you for everything.,,,1,99,yes,,,,,
tat:9024347,Prišiel si posledný.,You were the last to arrive.,,,1,211,yes,,,,,
tat:9033539,Prečo im neveríš?,Why don't you trust them?,,,1,142,yes,,,,,
tat:9038295,Toto je Copacabana!,This is Copacabana!,,,1,44,yes,,,,,
tat:9039913,Mali veľa detí.,They had a lot of kids.,,,1,124,yes,,,,,
tat:9040983,Ako ide život?,How's life?,,,1,107,yes,,,,,
tat:9042791,Radi sa rozprávame.,We enjoy talking.,,,1,265,yes,,,,,
tat:9061436,Čo si povedala?,What did you say?,,,1,29,yes,,,,,
tat:9063191,Čo ste povedali?,What did you say?,,,1,29,yes,,,,,
tat:9063234,Čo je toto?,What is this?,,,1,44,yes,,,,,
tat:9068927,Ahoj! Počuješ ma?,Hello! Can you hear me?,,,1,120,yes,,,,,
tat:9071204,Nikto nás nepočúva.,No one is listening to us.,,,1,193,yes,,,,,
tat:9075300,A prečo nie?,And why not?,,,1,51,yes,,,,,
tat:9079919,Ste z Berlína?,Do you come from Berlin?,,,1,30,yes,,,,,
tat:9079929,Žili v Austrálii.,They lived in Australia.,,,1,203,yes,,,,,
tat:9079930,Sú v Austrálii.,They're in Australia.,,,1,10,yes,,,,,
tat:9079932,Som v Austrálii.,I'm in Australia.,,,1,10,yes,,,,,
tat:9084946,Teraz idem domov.,I'm going home now.,,,1,185,yes,,,,,
tat:9084951,Musím vedieť prečo.,I have to know why.,,,1,51,yes,,,,,
tat:9095437,Ešte som tu.,I'm still here.,,,1,77,yes,,,,,
tat:9098239,Môžem to zmeniť.,I can change that.,,,1,277,yes,,,,,
tat:9099135,Milovali svoje deti.,They loved their children.,,,1,188,yes,,,,,
tat:9099233,Tom tiež stál.,"Tom stood, too.",,,1,264,yes,,,,,
tat:9130119,Videl som to.,I've seen it.,,,1,52,yes,,,,,
tat:9141743,"„Choď, čaká ťa.”","“Go, she's waiting for you”.",,,1,201,yes,,,,,
tat:9143984,Tom povedal nie.,Tom said no.,,,1,29,yes,,,,,
tat:9146736,Nič takého neurobím.,I'll do nothing of the kind.,,,1,90,yes,,,,,
tat:9149967,Som tvoja matka.,I'm your mother.,,,1,249,yes,,,,,
tat:9187071,Ja budem hovoriť.,I'll do the talking.,,,1,56,yes,,,,,
tat:9201701,Pracujete v meste?,Do you work in a town?,,,1,255,yes,,,,,
tat:9201702,Pracuješ v meste?,Do you work in a town?,,,1,255,yes,,,,,
tat:9264233,"Prosím, počkajte tu.",Please wait here.,,,1,128,yes,,,,,
tat:9264235,"Prosím, počkaj tu.",Please wait here.,,,1,128,yes,,,,,
tat:9269317,Nebojím sa ich.,I don't fear them.,,,1,223,yes,,,,,
tat:9269330,Chcem ťa vidieť!,I want to see you!,,,1,52,yes,,,,,
tat:9269331,Chcem vás vidieť!,I want to see you!,,,1,52,yes,,,,,
tat:9349668,Ešte to neskončilo.,It's not over yet.,,,1,234,yes,,,,,
tat:9383984,Nikdy nás nenájdu.,They will never find us.,,,1,92,yes,,,,,
tat:9456966,Kde je Libanon?,Where is Lebanon?,,,1,74,yes,,,,,
tat:9514680,Tom je Bulhar.,Tom is Bulgarian.,,,1,2,yes,,,,,
tat:9733975,Oni to začali.,They started it.,,,1,146,yes,,,,,
tat:9734202,Som v Londýne.,I am in London.,,,1,10,yes,,,,,
tat:9734884,Žena šla domov.,The woman was going home.,,,1,185,yes,,,,,
tat:9734885,Žena išla domov.,The woman was going home.,,,1,185,yes,,,,,
tat:9734887,Tom niečo je.,Tom is eating something.,,,1,47,yes,,,,,
tat:9736541,Poď so mnou.,Come along with me.,,,1,21,yes,,,,,
tat:9736543,Poďte so mnou.,Come along with me.,,,1,21,yes,,,,,
tat:9736576,Prečo vám verím?,Why do I believe you?,,,1,142,yes,,,,,
tat:9736577,Prečo ti verím?,Why do I believe you?,,,1,142,yes,,,,,
tat:9739232,Čo to stojí?,How much is it?,,,1,264,yes,,,,,
tat:9739242,Koľko to bude?,How much will it be?,,,1,284,yes,,,,,
tat:9739313,Tom bol sám.,Tom was alone.,,,1,153,yes,,,,,
tat:9762740,Čo chceš robiť?,What do you want to do?,,,1,46,yes,,,,,
tat:9762741,Čo chcete robiť?,What do you want to do?,,,1,46,yes,,,,,
tat:9762753,Čo hovorí žena?,What is the woman saying?,,,1,131,yes,,,,,
tat:9762787,Neni to ich?,Isn't that theirs?,,,1,13,yes,,,,,
tat:9768313,V žiadnom prípade!,No way!,,,1,241,yes,,,,,
tat:9768326,To nemôže byť!,It can't be!,,,1,17,yes,,,,,
tat:9768409,Nechajte ma odísť!,Let me leave!,,,1,168,yes,,,,,
tat:9768411,Nechaj ma odísť!,Let me leave!,,,1,168,yes,,,,,
tat:9771919,Som pripravený čakať.,I'm prepared to wait.,,,1,272,yes,,,,,
tat:9771922,Som pripravená čakať.,I'm prepared to wait.,,,1,272,yes,,,,,
tat:9772086,Kto ťa videl?,Who saw you?,,,1,63,yes,,,,,
tat:9772088,Kto vás videl?,Who saw you?,,,1,63,yes,,,,,
tat:9775701,"Neviem, kde idem.",I don't know where I'm going.,,,1,74,yes,,,,,
tat:9775702,"Neviem, kam idem.",I don't know where I'm going.,,,1,254,yes,,,,,
tat:9780314,Rada ťa vidím!,I'm glad to see you.,,,1,266,yes,,,,,
tat:9793795,Zabudnite na nich.,Forget about them.,,,1,239,yes,,,,,
tat:9793796,Zabudnite na ne.,Forget about them.,,,1,239,yes,,,,,
tat:9793798,Zabudni na ne.,Forget about them.,,,1,239,yes,,,,,
tat:9793800,Zabudni na nich.,Forget about them.,,,1,239,yes,,,,,
tat:9801780,Žije tu niekto?,Does anyone live here?,,,1,203,yes,,,,,
tat:9815718,Som zo Singapuru.,I'm from Singapore.,,,1,30,yes,,,,,
tat:9823269,Ona nám pomôže.,She will help us.,,,1,121,yes,,,,,
tat:9824238,Povedz jej všetko.,Tell her everything.,,,1,35,yes,,,,,
tat:9824241,Povedzte jej všetko.,Tell her everything.,,,1,35,yes,,,,,
tat:9824244,Povedz mu všetko.,Tell him everything.,,,1,35,yes,,,,,
tat:9824245,Povedzte mu všetko.,Tell him everything.,,,1,35,yes,,,,,
tat:9824261,"Dobrú noc, všetci!","Good night, everyone!",,,1,163,yes,,,,,
tat:9824281,Robíš to správne.,You're doing it right.,,,1,297,yes,,,,,
tat:9824353,Daj mu ruku.,,,,1,187,yes,,,,,
tat:9824385,Čo tu robia?,What are they doing here?,,,1,46,yes,,,,,
tat:9824409,Ony sú veľké.,They are big.,,,1,116,yes,,,,,
tat:9824411,Oni sú veľkí.,They are big.,,,1,116,yes,,,,,
tat:9830695,Otec miluje matku.,My father loves my mother.,,,1,249,yes,,,,,
tat:9831457,"Dobré ráno, všetci!","Good morning, everybody.",,,1,251,yes,,,,,
tat:9831481,Dobré ráno všetkým!,"Good morning, everybody.",,,1,251,yes,,,,,
tat:9831842,Ako sa máte?,How are you doing?,,,1,14,yes,,,,,
tat:9831907,Žijeme v Damasku.,We live in Damascus.,,,1,203,yes,,,,,
tat:9831911,Nemá žiadnych priateľov.,He doesn't have any friends.,,,1,157,yes,,,,,
tat:9832113,Ja ju nepoznám.,I don't know her.,,,1,145,yes,,,,,
tat:9832297,Bol mojím priateľom.,He was a friend of mine.,,,1,157,yes,,,,,
tat:9832320,Ako dlho zostaneš?,How long are you going to stay?,,,1,227,yes,,,,,
tat:9832322,Ako dlho zostanete?,How long are you going to stay?,,,1,227,yes,,,,,
tat:9832393,Nie je Američan.,He is not an American.,,,1,12,yes,,,,,
tat:9835395,To je veľa!,That's a lot!,,,1,67,yes,,,,,
tat:9835436,Nemám žiadne deti.,I don't have any children.,,,1,124,yes,,,,,
tat:9839178,Mám ťa rád.,I like you.,,,1,103,yes,,,,,
tat:9839179,Mám ťa rada.,I like you.,,,1,266,yes,,,,,
tat:9839180,Mám vás rád.,I like you.,,,1,103,yes,,,,,
tat:9839181,Mám vás rada.,I like you.,,,1,266,yes,,,,,
tat:9839182,Páčiš sa mi.,I like you.,,,1,194,yes,,,,,
tat:9839183,Páčite sa mi.,I like you.,,,1,194,yes,,,,,
tat:9839298,Nikoho tu nepoznám.,I don't know anyone here.,,,1,145,yes,,,,,
tat:9840863,Čo môžeme urobiť?,What can we do?,,,1,61,yes,,,,,
tat:9840875,Kam chceš ísť?,Where do you want to go?,,,1,254,yes,,,,,
tat:9840876,Kam chcete ísť?,Where do you want to go?,,,1,254,yes,,,,,
tat:9840877,Kde chceš ísť?,Where do you want to go?,,,1,74,yes,,,,,
tat:9840880,Kde chcete ísť?,Where do you want to go?,,,1,74,yes,,,,,
tat:9843785,Dlho som čakal.,I've waited a long time.,,,1,227,yes,,,,,
tat:9843788,Dlho som čakala.,I've waited a long time.,,,1,227,yes,,,,,
tat:9845144,Zabudnite na to!,Forget it!,,,1,239,yes,,,,,
tat:9845663,Povedz mi pravdu.,Tell me the truth.,,,1,123,yes,,,,,
tat:9845664,Povedzte mi pravdu.,Tell me the truth.,,,1,123,yes,,,,,
tat:9846177,Čo je Tatoeba?,What is Tatoeba?,,,1,9,yes,,,,,
tat:9846211,Odídeme bez neho.,We'll leave without him.,,,1,168,yes,,,,,
tat:9846240,Teraz som sám.,I'm alone now.,,,1,153,yes,,,,,
tat:9846241,Teraz som sama.,I'm alone now.,,,1,153,yes,,,,,
tat:9846243,On žije sám.,He lives by himself.,,,1,203,yes,,,,,
tat:9846259,Ona žije sama.,She lives alone.,,,1,203,yes,,,,,
tat:9846917,Počul som to.,I heard it.,,,1,111,yes,,,,,
tat:9846918,Počula som to.,I heard it.,,,1,111,yes,,,,,
tat:9848456,Už šla domov.,She has already gone home.,,,1,185,yes,,,,,
tat:9848457,Už išla domov.,She has already gone home.,,,1,185,yes,,,,,
tat:9848458,Už šiel domov.,He has already gone home.,,,1,185,yes,,,,,
tat:9848459,Už išiel domov.,He has already gone home.,,,1,185,yes,,,,,
tat:9850405,Si môj otec.,You are my father.,,,1,106,yes,,,,,
tat:9853302,Kde teraz si?,Where are you now?,,,1,74,yes,,,,,
tat:9853303,Kde teraz ste?,Where are you now?,,,1,74,yes,,,,,
tat:9854546,"Samozrejme, že pôjdem.",Of course I'll go.,,,1,228,yes,,,,,
tat:9854597,"Dobre, som pripravený.","Okay, I'm ready.",,,1,272,yes,,,,,
tat:9854600,"Dobre, som pripravená.","Okay, I'm ready.",,,1,272,yes,,,,,
tat:9860715,Aký je mesiac?,What month is it?,,,1,290,yes,,,,,
tat:9865286,Tom ti veril?,Did Tom believe you?,,,1,142,yes,,,,,
tat:9865287,Tom vám veril?,Did Tom believe you?,,,1,142,yes,,,,,
tat:9866047,Teraz som tu.,I'm here now.,,,1,55,yes,,,,,
tat:9867888,Kde máš ženu?,Where is your wife?,,,1,131,yes,,,,,
tat:9868177,Zbraň sme nenašli.,We didn't find a weapon.,,,1,250,yes,,,,,
tat:9869038,Sme z Ruska.,We are from Russia.,,,1,30,yes,,,,,
tat:9869834,Videla si to?,Did you see it?,,,1,52,yes,,,,,
tat:9869835,Videli ste to?,Did you see it?,,,1,52,yes,,,,,
tat:9869923,Videl si niekoho?,Did you see anybody?,,,1,87,yes,,,,,
tat:9869924,Videla si niekoho?,Did you see anybody?,,,1,87,yes,,,,,
tat:9869925,Videli ste niekoho?,Did you see anybody?,,,1,87,yes,,,,,
tat:9869964,Čo to vidím?,What am I seeing?,,,1,52,yes,,,,,
tat:9870001,Ja ťa počujem.,I hear you.,,,1,111,yes,,,,,
tat:9870002,Ja vás počujem.,I hear you.,,,1,111,yes,,,,,
tat:9870028,Ja ťa vidím.,I can see you.,,,1,52,yes,,,,,
tat:9870029,Ja vás vidím.,I can see you.,,,1,52,yes,,,,,
tat:9870189,Žijú v Austrálii.,They live in Australia.,,,1,203,yes,,,,,
tat:9870243,Som v Berlíne.,I am in Berlin.,,,1,10,yes,,,,,
tat:9870247,Si v Berlíne.,You're in Berlin.,,,1,10,yes,,,,,
tat:9870249,Ste v Berlíne.,You're in Berlin.,,,1,10,yes,,,,,
tat:9889754,"Odíď, kým môžeš.",Leave while you can.,,,1,171,yes,,,,,
tat:9889756,"Odíďte, kým môžete.",Leave while you can.,,,1,171,yes,,,,,
tat:9889818,Vždy ju miloval.,He's always loved her.,,,1,188,yes,,,,,
tat:9889962,Hľadali ste ich?,Were you looking for them?,,,1,248,yes,,,,,
tat:9889964,Hľadal si ich?,Were you looking for them?,,,1,248,yes,,,,,
tat:9889966,Hľadala si ich?,Were you looking for them?,,,1,248,yes,,,,,
tat:9890972,Si si istý?,Are you sure?,,,1,136,yes,,,,,
tat:9890974,Si si istá?,Are you sure?,,,1,136,yes,,,,,
tat:9890976,Ste si istá?,Are you sure?,,,1,136,yes,,,,,
tat:9890981,Ste si isté?,Are you sure?,,,1,136,yes,,,,,
tat:9891461,Mesto je veľké.,The city is big.,,,1,255,yes,,,,,
tat:9891841,Každý chcel pomôcť.,Everybody wanted to help.,,,1,121,yes,,,,,
tat:9891847,Všetci chceli pomôcť.,Everybody wanted to help.,,,1,121,yes,,,,,
tat:9918846,"Viem, kde si.",I know where you are.,,,1,74,yes,,,,,
tat:9918852,"Viem, kde ste.",I know where you are.,,,1,74,yes,,,,,
tat:9918859,To som ja.,It's me.,,,1,5,yes,,,,,
tat:9922221,Nemôžeš mi pomôcť.,You can't help me.,,,1,121,yes,,,,,
tat:9922224,Nemôžete mi pomôcť.,You can't help me.,,,1,121,yes,,,,,
tat:9922234,Ona je Japonka.,She is Japanese.,,,1,27,yes,,,,,
tat:9922881,Prečo si sám?,Why are you alone?,,,1,153,yes,,,,,
tat:9922898,Prečo ste sám?,Why are you alone?,,,1,153,yes,,,,,
tat:9922902,Prečo ste sama?,Why are you alone?,,,1,153,yes,,,,,
tat:9922908,Prečo ste sami?,Why are you alone?,,,1,153,yes,,,,,
tat:9922912,Prečo ste samy?,Why are you alone?,,,1,153,yes,,,,,
tat:9926910,"Áno, už viem.",,,,1,38,yes,,,,,
tat:9929149,Nezabudni si peniaze.,Don't forget your money.,,,1,239,yes,,,,,
tat:9929150,Nezabudnite si peniaze.,Don't forget your money.,,,1,239,yes,,,,,
tat:9929190,Vážne? Kedy odišiel?,"Oh, really? When did he leave?",,,1,175,yes,,,,,
tat:9931644,Tom nechcel čakať.,Tom didn't want to wait.,,,1,201,yes,,,,,
tat:9932574,Nepôjdem s tebou.,I won't be coming with you.,,,1,215,yes,,,,,
tat:9932575,Nepôjdem s vami.,I won't be coming with you.,,,1,215,yes,,,,,
tat:9932609,Mohol som pomôcť.,I could have helped.,,,1,121,yes,,,,,
tat:9932610,Mohla som pomôcť.,I could have helped.,,,1,121,yes,,,,,
tat:9932851,Niekto tu je.,There's somebody here.,,,1,87,yes,,,,,
tat:9934773,Nepočul som ťa.,I didn't hear you.,,,1,111,yes,,,,,
tat:9934774,Nepočula som ťa.,I didn't hear you.,,,1,111,yes,,,,,
tat:9934775,Nepočul som vás.,I didn't hear you.,,,1,111,yes,,,,,
tat:9934776,Nepočula som vás.,I didn't hear you.,,,1,111,yes,,,,,
tat:9934901,Si z Európy?,Are you from Europe?,,,1,30,yes,,,,,
tat:9934903,Ste z Európy?,Are you from Europe?,,,1,30,yes,,,,,
tat:9934905,Si z Afriky?,Are you from Africa?,,,1,30,yes,,,,,
tat:9934906,Ste z Afriky?,Are you from Africa?,,,1,30,yes,,,,,
tat:9934943,Si z Ázie?,Are you from Asia?,,,1,30,yes,,,,,
tat:9934944,Ste z Ázie?,Are you from Asia?,,,1,30,yes,,,,,
tat:9935458,Kde teraz žije?,Where does she live now?,,,1,203,yes,,,,,
tat:9940230,"Samozrejme, pomôžeme ti.","Of course, we'll help you.",,,1,228,yes,,,,,
tat:9940232,"Samozrejme, pomôžeme vám.","Of course, we'll help you.",,,1,228,yes,,,,,
tat:9940253,Kde je Taliansko?,Where is Italy?,,,1,74,yes,,,,,
