id,lemma,rank,band,pos,gender,aspect,ipa,gloss_en_current,gloss_en_new,gloss_ro_current,gloss_ro_new,example_sk,example_en,register_flag,cognate_ro,notes,verdict
sk:hneď,hneď,208,1,,,,,,,imediat,,Hneď sa vrátim.,I'll be back right away.,,,,
sk:než,než,212,1,,,,,,,decât; înainte să,,Je mladšia než ja.,She is younger than me.,,,,
sk:uvidieť,uvidieť,218,1,,,,,,,a vedea (perfectiv); om vedea,,Uvidíš ten rozdiel.,You will see the difference.,,,,
sk:skvelý,skvelý,225,1,,,,,,,grozav; excelent,,Je v skvelej forme.,He is in perfect shape.,,,,
sk:dlho,dlho,227,1,,,,,,,mult timp,,Ako dlho zostaneš?,How long are you going to stay?,,,,
sk:samozrejme,samozrejme,228,1,,,,,,,desigur; bineînțeles,,"Samozrejme, že pôjdem.",Of course I'll go.,,,,
sk:zobrať,zobrať,230,1,,,,,,,a lua (perfectiv),,Zober túto krabicu.,Take this box.,,,,
sk:takto,takto,232,1,,,,,,,așa; în felul acesta,,Takto to bolo vždy.,This is always the way it has been.,,,,
sk:skončiť,skončiť,234,1,,,,,,,a termina; a se sfârși,,Už som skončil.,I've already finished.,,,,
sk:chápať,chápať,237,1,,,,,,,a înțelege; a pricepe,,"Chápem, čo myslíte.",I see your point.,,,,
sk:spolu,spolu,238,1,,,,,,,împreună,,Odišli ste spolu?,Did you leave together?,,,,
sk:vlastne,vlastne,240,1,,,,,,,de fapt,,Čo sa vlastne snažíš dokázať?,What exactly are you trying to prove?,,,,
sk:zistiť,zistiť,246,1,,,,,,,a afla; a constata,,Zistil si niečo?,Have you found something out?,,,,
sk:vôbec,vôbec,247,1,,,,,,,deloc; în general,,Vôbec nerozumiem francúzsky.,I don't understand French at all.,,,,
sk:zbraň,zbraň,250,1,,,,,,,armă,,Zbraň sme nenašli.,We didn't find a weapon.,,,,
sk:ráno,ráno,251,1,,,,,,,dimineață; dimineața,,Pršalo celé ráno.,It's been raining all morning.,,,,
sk:poslať,poslať,253,1,,,,,,,a trimite,,Kto poslal kvety?,Who sent the flowers?,,,,
sk:kam,kam,254,1,,,,,,,încotro; unde (cu mișcare),,"Kam ideš, oci?","Where are you going, Dad?",,,,
sk:niekedy,niekedy,256,1,,,,,,,câteodată; cândva,,Odpustíte mi niekedy?,Will you ever forgive me?,,,,
sk:príliš,príliš,260,1,,,,,,,prea,,Som príliš lenivý.,I am too lazy.,,,,
sk:dúfať,dúfať,262,1,,,,,,,a spera,,"Kým dýcham, dúfam.","While I breathe, I hope.",,,,
sk:rozprávať,rozprávať,265,1,,,,,,,a povesti; a vorbi,,Ženy rady rozprávajú.,Women like to talk.,,,,
sk:rada,rada,266,1,,,,,,,cu plăcere (fem.); sfat,,Mačka rada spí.,The cat likes sleeping.,,,,
sk:úplne,úplne,267,1,,,,,,,complet; în totalitate,,Som úplne vyčerpaný.,I'm completely exhausted.,,,,
sk:nuž,nuž,269,1,,,,,,,ei bine; păi,,,,,,,
sk:fajn,fajn,271,1,,,,,,,bine; fain,,To je fajn.,That's fine.,,,,
sk:pripravený,pripravený,272,1,,,,,,,pregătit; gata,,Som pripravený čakať.,I'm prepared to wait.,,,,
sk:u,u,279,1,ADP,,,/u/,,,la (cineva),,Platí sa u pokladni.,Pay at the cash register.,,,,
sk:predtým,predtým,287,1,,,,,,,înainte; mai devreme,,Deň predtým snežilo.,It had snowed the day before.,,,,
sk:zdať,zdať,293,1,,,,,,,a părea; a se părea,,Zdala sa šťastná.,She seemed happy.,,,,
sk:správne,správne,297,1,,,,,,,corect; bine,,Tom konal správne.,Tom did the right thing.,,,,
